,Name,Age,Embarked,Position,Crew_Type
376,"Williams, Mr. Walter J.",28,Southampton,Second Class Saloon Steward,Victualling
377,"Willis, Mr. William",66,Southampton,Third Class Steward,Victualling
378,"Wiltshire, Mr. W.",33,Southampton,Asst. Butcher,Victualling
379,"Witter, Mr. James W.C.",31,Southampton,Second Class Smoking Room Steward,Victualling
380,"Wood, Mr. J.T.",40,Southampton,Second Class Saloon Steward,Victualling
381,"Wormald, Mr. Frederick William",36,Southampton,First Class Saloon Steward,Victualling
382,"Wrapson, Mr. Frederick B.",19,Southampton,Asst. Pantryman,Victualling
383,"Wright, Mr. Frederick",24,Southampton,Squash Court Steward,Victualling
384,"Wright, Mr. William",40,Southampton,Glory Hole Steward,Victualling
385,"Yearsley, Mr. Harry",38,Southampton,First Class Saloon Steward,Victualling
386,"Yoshack, Mr. James A.",31,Southampton,First Class Saloon Steward,Victualling
0,"Allaria, Signore Battista Antonio",30,Southampton,Asst. Waiter,Restaurant
1,"Aspeslagh, Mr. Georges",26,Southampton,Asst. Plateman,Restaurant
2,"Banfi, Signore Ugo",24,Southampton,Waiter,Restaurant
3,"Basilico, Signore Giovanni",27,Southampton,Waiter,Restaurant
4,"Bazzi, Signore Narciso",33,Southampton,Waiter,Restaurant
5,"Bernardi, Signore Battista",22,Southampton,Asst. Waiter,Restaurant
6,"Beux, Mr. David",26,Southampton,Asst. Waiter,Restaurant
7,"Bietrix, Mr. George Baptiste",28,Southampton,Cook,Restaurant
8,"Blument, Mr. Jean Baptiste",26,Southampton,Pantryman,Restaurant
9,"Bochet, Mr. Pierre Giuseppe",43,Southampton,Waiter,Restaurant
10,"Bolhuis, Mr. Hendrik ""Hennie""",21,Southampton,Larder Cook,Restaurant
11,"Bowker, Miss Ruth",27,Southampton,Cashier,Restaurant
12,"Casali, Signore Giulio",27,Southampton,Waiter,Restaurant
13,"Chaboisson, Mr. Adrien Finnin",25,Southampton,Roast Cook,Restaurant
14,"Cornaire, Mr.  Marcel Raymond André",19,Southampton,Asst. Roast Cook,Restaurant
15,"Coutin, Mr. Auguste Louis",28,Southampton,Entrée Cook,Restaurant
16,"Crovella, Signore Luigi",17,Southampton,Asst. Waiter,Restaurant
17,"De Marsico, Signore Giovanni",20,Southampton,Asst. Waiter,Restaurant
18,"Debreucq, Mr. Maurice Emile Victor",22,Southampton,Asst. Waiter,Restaurant
19,"Desvernine, Mr. Louis Gabriel",20,Southampton,Asst. Pastry Cook,Restaurant
20,"Donati, Signore Italo Francesco",17,Southampton,Asst. Waiter,Restaurant
21,"Dornier, Mr. Louis Auguste",20,Southampton,Asst. Fish Cook,Restaurant
22,"Fey, Signore Carlo",30,Southampton,Scullion,Restaurant
23,"Fioravante, Signore Giuseppe Bertoldo",23,Southampton,Asst. Scullion,Restaurant
24,"Gatti, Signore Gaspare Antonio Pietro ""Luigi""",37,Southampton,Restaurant Manager,Restaurant
25,"Gilardino, Signore Vincenzo Pio",31,Southampton,Waiter,Restaurant
26,"Grosclaude, Mr. Gérald",24,Southampton,Waiter,Restaurant
27,"Jaillet, Mr. Henri Marie",28,Southampton,Pastry Cook,Restaurant
28,"Janin, Mr. Claude Marie",29,Southampton,Soup Cook,Restaurant
29,"Jeffery, Mr. William Alfred",28,Southampton,Controller,Restaurant
30,"Jouannault, Mr. Georges Jules",24,Southampton,Asst. Sauce Cook,Restaurant
31,"Martin, Miss Margaret Edwina ""Mabel""",20,Southampton,Cashier,Restaurant
32,"Mattmann, Mr. Adolf",20,Southampton,Ice Man,Restaurant
33,"Maugé, Mr. Paul Achille Maurice Germain",25,Southampton,Kitchen Clerk,Restaurant
34,"Monteverdi, Signore Giovanni",23,Southampton,Cook,Restaurant
35,"Mourous, Mr. Jean Javier",20,Southampton,Asst. Waiter,Restaurant
36,"Nannini, Signore Francesco Luigi",42,Southampton,Head Waiter,Restaurant
37,"Pachera, Signore Jean Baptiste Stanislas",19,Southampton,Asst. Larder Cook,Restaurant
38,"Pedrini, Signore Alessandro",21,Southampton,Asst. Waiter,Restaurant
39,"Peracchio, Signore Alberto",20,Southampton,Asst. Waiter,Restaurant
40,"Peracchio, Signore Sebastiano",17,Southampton,Asst. Waiter,Restaurant
41,"Perotti, Signore Alfonso",20,Southampton,Asst. Waiter,Restaurant
42,"Phillips, Mr. Walter John",35,Southampton,Storekeeper,Restaurant
43,"Piatti, Signore Luigi",17,Southampton,Asst. Waiter,Restaurant
44,"Piazza, Signore Pompeo",30,Southampton,Waiter,Restaurant
45,"Poggi, Signore Emilio",28,Southampton,Waiter,Restaurant
46,"Price, Mr. Ernest",17,Southampton,Barman,Restaurant
47,"Ratti, Signore Enrico",21,Southampton,Waiter,Restaurant
48,"Ricaldone, Signore Rinaldo Renato",22,Southampton,Asst. Waiter,Restaurant
49,"Rigozzi, Signore Abele",22,Southampton,Asst. Waiter,Restaurant
50,"Rotta, Signore Angelo Mario",23,Southampton,Waiter,Restaurant
51,"Rousseau, Mr. Pierre",49,Southampton,Chef,Restaurant
52,"Saccaggi, Signore Giovanni Giuseppe Emilio",24,Southampton,Asst. Waiter,Restaurant
53,"Salussolia, Signore Giovanni",25,Southampton,Glass Man,Restaurant
54,"Sartori, Signore Lazar",24,Southampton,Asst. Glass Man,Restaurant
55,"Scavino, Signore Candido",42,Southampton,Carver,Restaurant
56,"Sesia, Signore Giacomo",24,Southampton,Waiter,Restaurant
57,"Testoni, Signore Ercole",23,Southampton,Asst. Glass Man,Restaurant
58,"Tietz, Mr. Karl",27,Southampton,Kitchen Porter,Restaurant
59,"Turvey, Mr. Charles",16,Southampton,Page Boy,Restaurant
60,"Urbini, Signore Roberto",22,Southampton,Waiter,Restaurant
61,"Valvassori, Signore Ettore Luigi",35,Southampton,Waiter,Restaurant
62,"Vicat, Mr. Alphonse Jean Eugene",21,Southampton,Cook,Restaurant
63,"Villvarlange, Mr. Pierre Léon Gabriel",19,Southampton,Asst. Soup Cook,Restaurant
64,"Vine, Mr. H.",18,Southampton,Asst. Controller,Restaurant
65,"Vioni, Signore Roberto",31,Southampton,Waiter,Restaurant
66,"Voegelin-Dubach, Mr. Johannes",35,Southampton,Coffee Maker,Restaurant
67,"Zanetti, Signore Minio",20,Southampton,Asst. Waiter,Restaurant
68,"Zarracchi, Signore L.",26,Southampton,Wine Butler,Restaurant
0,"Gwinn, Mr. William Logan",37,Southampton,Postal Clerk,Postal
1,"March, Mr. John Starr",50,Southampton,Postal Clerk,Postal
2,"Smith, Mr. John Richard ""Jago""",35,Southampton,Postal Clerk,Postal
3,"Williamson, Mr. James Bertram",35,Southampton,Postal Clerk,Postal
4,"Woody, Mr. Oscar Scott",44,Southampton,Postal Clerk,Postal
0,"Andrews, Mr. Thomas",39,Belfast,Shipbuilder,Guarantee
1,"Campbell, Mr. William Henry",21,Belfast,Joiner,Guarantee
2,"Chisholm, Mr. Roderick Robert Crispin",40,Belfast,Draughtsman,Guarantee
3,"Cunningham, Mr. Alfred Fleming",21,Belfast,Fitter,Guarantee
4,"Frost, Mr. Anthony Wood ""Artie""",37,Belfast,Fitter,Guarantee
5,"Knight, Mr. Robert J.",39,Belfast,Fitter,Guarantee
6,"Parkes, Mr. Francis ""Frank""",21,Belfast,Plumber,Guarantee
7,"Parr, Mr. William Henry Marsh",29,Belfast,Electrician,Guarantee
8,"Watson, Mr. Ennis Hastings",15,Belfast,Electrician's Apprentice,Guarantee
0,"Brailey, Mr. W. Theodore Ronald",24 ,, Pianist ,Musician
1,"Bricoux, Mr. Roger Marie", 20 ,, Cellist ,Musician
2," Clarke, Mr. John Frederick Preston ", 30 ,, Bassist ,Musician
3,"Hartley, Mr. Wallace Henry", 33 ,,Bandmaster,Musician
4,"Hume, Mr. John Law ""Jock""", 21 ,, Violinist ,Musician
5,"Krins, Mr. Georges Alexandre", 23 ,, Violinist ,Musician
6,"Taylor, Mr. Percy Cornelius ", 32 ,, Cellist ,Musician
7,"Woodward, Mr. John Wesley ", 32 ,, Cellist ,Musician
